         40509565 function calls (40497793 primitive calls) in 14.418 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       42    0.000    0.000    0.004    0.000 backend_agg.py:215(get_text_width_height_descent)
     4303    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:59(<listcomp>)
      412    0.000    0.000    0.004    0.000 rcsetup.py:375(validate_color)
     7101    0.004    0.000    0.004    0.000 __init__.py:934(__getitem__)
       12    0.004    0.000    0.004    0.000 {built-in method builtins.compile}
        3    0.000    0.000    0.004    0.001 _version.py:7(<module>)
        1    0.000    0.000    0.004    0.004 mathtext.py:2222(Parser)
        1    0.000    0.000    0.004    0.004 mathtext.py:2764(<lambda>)
        1    0.000    0.000    0.004    0.004 mathtext.py:2764(<listcomp>)
      131    0.001    0.000    0.003    0.000 font_manager.py:674(__init__)
49777/49501    0.003    0.000    0.003    0.000 {built-in method builtins.len}
       21    0.000    0.000    0.003    0.000 pyparsing.py:1227(setParseAction)
       23    0.001    0.000    0.003    0.000 pyparsing.py:1016(_trim_arity)
